clean_image,adv_image,noise
clean_20260605_215720_478089.jpg,adv_20260605_215843_958127.jpg,44.1
clean_20260605_215720_478089.jpg,adv_20260605_215848_819475.jpg,44.08
clean_20260605_215720_478089.jpg,adv_20260605_215852_690638.jpg,44.63
clean_20260605_215720_478089.jpg,adv_20260605_215857_082744.jpg,44.84
clean_20260605_215720_478089.jpg,adv_20260605_215900_620554.jpg,44.87
clean_20260605_215720_478089.jpg,adv_20260605_215903_720048.jpg,44.87
clean_20260605_215720_478089.jpg,adv_20260605_215909_062375.jpg,44.84
clean_20260605_215720_478089.jpg,adv_20260605_215916_342726.jpg,44.86
clean_20260605_215720_478089.jpg,adv_20260605_215920_532905.jpg,44.55
clean_20260605_215720_478089.jpg,adv_20260605_215924_597056.jpg,44.55
clean_20260605_215720_478089.jpg,adv_20260605_215932_155746.jpg,44.48
clean_20260605_215720_478089.jpg,adv_20260605_215936_620273.jpg,44.74
clean_20260605_215720_478089.jpg,adv_20260605_215939_969450.jpg,44.71
clean_20260605_215720_478089.jpg,adv_20260605_215945_620841.jpg,44.71
clean_20260605_215720_478089.jpg,adv_20260605_215949_643689.jpg,44.45
clean_20260605_215720_478089.jpg,adv_20260605_215955_329492.jpg,43.6
clean_20260605_215720_478089.jpg,adv_20260605_220000_522410.jpg,46.42
clean_20260605_215720_478089.jpg,adv_20260605_220003_401347.jpg,43.62
clean_20260605_215720_478089.jpg,adv_20260605_220008_438069.jpg,43.59
clean_20260605_215720_478089.jpg,adv_20260605_220015_985705.jpg,43.41
clean_20260605_215720_669898.jpg,adv_20260601_200722_033489.jpg,38.02
clean_20260605_215720_669898.jpg,adv_20260601_200726_985328.jpg,23.55
clean_20260605_215720_669898.jpg,adv_20260601_200732_790092.jpg,65.64
clean_20260605_215720_669898.jpg,adv_20260601_200735_190392.jpg,56.93
clean_20260605_215720_669898.jpg,adv_20260601_200737_438642.jpg,33.58
clean_20260605_215720_669898.jpg,adv_20260601_200740_257993.jpg,33.11
clean_20260605_215720_669898.jpg,adv_20260601_200742_857943.jpg,53.64
clean_20260605_215720_669898.jpg,adv_20260601_200745_536431.jpg,50.55
clean_20260605_215720_669898.jpg,adv_20260601_200748_060134.jpg,47.27
clean_20260605_215720_669898.jpg,adv_20260601_200750_768035.jpg,56.33
clean_20260605_215720_669898.jpg,adv_20260601_200753_275939.jpg,56.49
clean_20260605_215720_669898.jpg,adv_20260601_200755_934735.jpg,58.22
clean_20260605_215720_669898.jpg,adv_20260601_200758_560376.jpg,57.98
clean_20260605_215720_669898.jpg,adv_20260601_200801_309674.jpg,58.2
clean_20260605_215720_669898.jpg,adv_20260601_200804_016125.jpg,58.48
clean_20260605_215720_669898.jpg,adv_20260601_200806_798043.jpg,58.45
clean_20260605_215720_669898.jpg,adv_20260601_200809_331978.jpg,57.57
clean_20260605_215720_669898.jpg,adv_20260601_200811_983553.jpg,54.5
clean_20260605_215720_669898.jpg,adv_20260601_200814_628342.jpg,55.01
clean_20260605_215720_669898.jpg,adv_20260605_215748_101872.jpg,31.06
clean_20260605_215720_669898.jpg,adv_20260605_215750_533919.jpg,30.76
clean_20260605_215720_669898.jpg,adv_20260605_215752_721990.jpg,43.94
clean_20260605_215720_669898.jpg,adv_20260605_215755_307287.jpg,43.68
clean_20260605_215720_669898.jpg,adv_20260605_215757_810874.jpg,44.87
clean_20260605_215720_669898.jpg,adv_20260605_215800_592501.jpg,45.3
clean_20260605_215720_669898.jpg,adv_20260605_215803_081455.jpg,45.33
clean_20260605_215720_669898.jpg,adv_20260605_215805_938313.jpg,45.47
clean_20260605_215720_669898.jpg,adv_20260605_215808_796071.jpg,45.75
clean_20260605_215720_669898.jpg,adv_20260605_215812_986796.jpg,45.63
clean_20260605_215720_669898.jpg,adv_20260605_215818_237625.jpg,45.95
clean_20260605_215720_669898.jpg,adv_20260605_215823_308924.jpg,45.53
clean_20260605_215720_669898.jpg,adv_20260605_215829_145319.jpg,44.63
clean_20260605_215720_669898.jpg,adv_20260605_215834_137085.jpg,43.57
clean_20260605_215720_669898.jpg,adv_20260605_215838_559498.jpg,44.12
clean_20260605_215720_669898.jpg,adv_20260605_215843_958127.jpg,44.14
clean_20260605_215720_669898.jpg,adv_20260605_215848_819475.jpg,44.11
clean_20260605_215720_669898.jpg,adv_20260605_215852_690638.jpg,44.65
clean_20260605_215720_669898.jpg,adv_20260605_215857_082744.jpg,44.87
clean_20260605_215720_669898.jpg,adv_20260605_215900_620554.jpg,44.89
clean_20260605_215720_669898.jpg,adv_20260605_215903_720048.jpg,44.89
clean_20260605_215720_669898.jpg,adv_20260605_215909_062375.jpg,44.88
clean_20260605_215720_669898.jpg,adv_20260605_215916_342726.jpg,44.91
clean_20260605_215720_669898.jpg,adv_20260605_215920_532905.jpg,44.59
clean_20260605_215720_669898.jpg,adv_20260605_215924_597056.jpg,44.59
clean_20260605_215720_669898.jpg,adv_20260605_215932_155746.jpg,44.52
clean_20260605_215720_669898.jpg,adv_20260605_215936_620273.jpg,44.77
clean_20260605_215720_669898.jpg,adv_20260605_215939_969450.jpg,44.74
clean_20260605_215720_669898.jpg,adv_20260605_215945_620841.jpg,44.74
clean_20260605_215720_669898.jpg,adv_20260605_215949_643689.jpg,44.48
clean_20260605_215720_669898.jpg,adv_20260605_215955_329492.jpg,43.65
clean_20260605_215720_669898.jpg,adv_20260605_220000_522410.jpg,46.46
clean_20260605_215720_669898.jpg,adv_20260605_220003_401347.jpg,43.67
clean_20260605_215720_669898.jpg,adv_20260605_220008_438069.jpg,43.66
clean_20260605_215720_669898.jpg,adv_20260605_220015_985705.jpg,43.47
clean_20260605_215720_878945.jpg,adv_20260601_200722_033489.jpg,37.99
clean_20260605_215720_878945.jpg,adv_20260601_200726_985328.jpg,23.64
clean_20260605_215720_878945.jpg,adv_20260601_200732_790092.jpg,65.68
clean_20260605_215720_878945.jpg,adv_20260601_200735_190392.jpg,56.99
clean_20260605_215720_878945.jpg,adv_20260601_200737_438642.jpg,33.57
clean_20260605_215720_878945.jpg,adv_20260601_200740_257993.jpg,33.13
clean_20260605_215720_878945.jpg,adv_20260601_200742_857943.jpg,53.71
clean_20260605_215720_878945.jpg,adv_20260601_200745_536431.jpg,50.63
clean_20260605_215720_878945.jpg,adv_20260601_200748_060134.jpg,47.36
clean_20260605_215720_878945.jpg,adv_20260601_200750_768035.jpg,56.38
clean_20260605_215720_878945.jpg,adv_20260601_200753_275939.jpg,56.53
clean_20260605_215720_878945.jpg,adv_20260601_200755_934735.jpg,58.26
clean_20260605_215720_878945.jpg,adv_20260601_200758_560376.jpg,58.04
clean_20260605_215720_878945.jpg,adv_20260601_200801_309674.jpg,58.25
clean_20260605_215720_878945.jpg,adv_20260601_200804_016125.jpg,58.54
clean_20260605_215720_878945.jpg,adv_20260601_200806_798043.jpg,58.49
clean_20260605_215720_878945.jpg,adv_20260601_200809_331978.jpg,57.62
clean_20260605_215720_878945.jpg,adv_20260601_200811_983553.jpg,54.56
clean_20260605_215720_878945.jpg,adv_20260601_200814_628342.jpg,55.07
clean_20260605_215720_878945.jpg,adv_20260605_215748_101872.jpg,31.05
clean_20260605_215720_878945.jpg,adv_20260605_215750_533919.jpg,30.72
clean_20260605_215720_878945.jpg,adv_20260605_215752_721990.jpg,44.0
clean_20260605_215720_878945.jpg,adv_20260605_215755_307287.jpg,43.75
clean_20260605_215720_878945.jpg,adv_20260605_215757_810874.jpg,44.93
clean_20260605_215720_878945.jpg,adv_20260605_215800_592501.jpg,45.35
clean_20260605_215720_878945.jpg,adv_20260605_215803_081455.jpg,45.38
clean_20260605_215720_878945.jpg,adv_20260605_215805_938313.jpg,45.53
clean_20260605_215720_878945.jpg,adv_20260605_215808_796071.jpg,45.82
clean_20260605_215720_878945.jpg,adv_20260605_215812_986796.jpg,45.69
clean_20260605_215720_878945.jpg,adv_20260605_215818_237625.jpg,45.99
